date,temperature_2m_mean
2021-01-20,8.974999
2021-01-21,7.0520835
2021-01-22,4.5416665
2021-01-23,2.908333
2021-01-24,1.9979167
2021-01-25,2.0270834
2021-01-26,4.295833
2021-01-27,4.8229165
2021-01-28,4.3749995
2021-01-29,6.868751
2021-01-30,-0.11874998
2021-01-31,-1.1166666
2021-02-01,0.5479167
2021-02-02,3.23125
2021-02-03,7.9187512
2021-02-04,7.047917
2021-02-05,6.5249996
2021-02-06,2.2916667
2021-02-07,-4.083334
2021-02-08,-4.8916664
2021-02-09,-3.2166665
2021-02-10,-4.729167
2021-02-11,-5.704167
2021-02-12,-6.647917
2021-02-13,-6.379166
2021-02-14,-1.55625
2021-02-15,3.7708337
2021-02-16,7.464584
2021-02-17,8.733334
2021-02-18,8.504168
2021-02-19,7.1145825
2021-02-20,12.281251
2021-02-21,11.41875
2021-02-22,11.152084
2021-02-23,12.364583
2021-02-24,13.656249
2021-02-25,10.485416
2021-02-26,5.943749
2021-02-27,4.5166664
2021-02-28,3.3895829
2021-03-01,4.829167
2021-03-02,6.0750003
2021-03-03,4.95
2021-03-04,4.5229163
2021-03-05,2.3083334
2021-03-06,0.91666675
2021-03-07,1.7124997
2021-03-08,4.3416657
2021-03-09,5.2125006
2021-03-10,5.389584
2021-03-11,8.422917
2021-03-12,6.2187505
2021-03-13,6.3750005
2021-03-14,6.172917
2021-03-15,6.2125
2021-03-16,5.2604165
2021-03-17,5.1437507
2021-03-18,4.425
2021-03-19,4.1625
2021-03-20,4.1208334
2021-03-21,6.1270833
2021-03-22,5.2833333
2021-03-23,6.93125
2021-03-24,6.9687495
2021-03-25,8.04375
2021-03-26,9.727083
2021-03-27,6.1041675
2021-03-28,8.785417
2021-03-29,10.918751
2021-03-30,12.345833
2021-03-31,12.65625
2021-04-01,8.622917
2021-04-02,5.9041657
2021-04-03,6.6791663
2021-04-04,6.066666
2021-04-05,4.295833
2021-04-06,2.8770835
2021-04-07,3.9729166
2021-04-08,5.3
2021-04-09,7.2916665
2021-04-10,4.670833
2021-04-11,4.0000005
2021-04-12,3.1958332
2021-04-13,4.472916
2021-04-14,4.185417
2021-04-15,5.03125
2021-04-16,5.6166663
2021-04-17,6.1458325
2021-04-18,7.8312497
2021-04-19,9.345834
2021-04-20,10.391665
2021-04-21,7.495834
2021-04-22,6.4375
2021-04-23,6.862499
2021-04-24,7.033333
2021-04-25,6.5937495
2021-04-26,6.349999
2021-04-27,8.570833
2021-04-28,9.560416
2021-04-29,7.2604165
2021-04-30,7.49375
2021-05-01,6.972916
2021-05-02,6.402083
2021-05-03,8.874999
2021-05-04,8.452083
2021-05-05,6.7208333
2021-05-06,6.2458324
2021-05-07,6.581249
2021-05-08,8.704166
2021-05-09,16.904167
2021-05-10,14.602084
2021-05-11,13.114583
2021-05-12,11.789582
2021-05-13,12.258332
2021-05-14,10.162499
2021-05-15,10.395833
2021-05-16,10.774999
2021-05-17,10.187501
2021-05-18,10.325001
2021-05-19,10.527084
2021-05-20,11.408333
2021-05-21,12.070834
2021-05-22,10.3125
2021-05-23,10.708332
2021-05-24,11.26875
2021-05-25,9.724999
2021-05-26,10.597917
2021-05-27,10.818749
2021-05-28,11.716666
2021-05-29,11.904168
2021-05-30,13.720836
2021-05-31,15.585415
2021-06-01,17.681252
2021-06-02,19.022917
2021-06-03,19.214582
2021-06-04,18.7875
2021-06-05,14.900002
2021-06-06,15.291665
2021-06-07,15.822917
2021-06-08,17.81458
2021-06-09,17.477083
2021-06-10,17.391666
2021-06-11,17.764582
2021-06-12,15.412501
2021-06-13,15.452084
2021-06-14,18.497915
2021-06-15,17.545834
2021-06-16,20.733334
2021-06-17,22.404167
2021-06-18,21.702082
2021-06-19,17.560415
2021-06-20,17.154165
2021-06-21,14.020832
2021-06-22,14.252083
2021-06-23,13.995833
2021-06-24,14.854168
2021-06-25,15.272919
2021-06-26,18.3125
2021-06-27,20.11875
2021-06-28,19.627085
2021-06-29,16.670835
2021-06-30,14.270833
2021-07-01,15.385418
2021-07-02,16.027082
2021-07-03,18.24375
2021-07-04,17.445833
2021-07-05,16.635418
2021-07-06,16.912502
2021-07-07,16.80625
2021-07-08,16.6375
2021-07-09,16.164583
2021-07-10,16.389584
2021-07-11,17.764584
2021-07-12,18.525
2021-07-13,18.722918
2021-07-14,18.052084
2021-07-15,18.31042
2021-07-16,17.641665
2021-07-17,18.654167
2021-07-18,19.056248
2021-07-19,17.318748
2021-07-20,17.4
2021-07-21,18.229166
2021-07-22,17.545832
2021-07-23,17.539583
2021-07-24,19.137499
2021-07-25,19.879168
2021-07-26,18.24375
2021-07-27,17.624998
2021-07-28,16.80208
2021-07-29,16.40625
2021-07-30,16.420832
2021-07-31,16.39375
2021-08-01,15.370833
2021-08-02,14.729167
2021-08-03,14.824998
2021-08-04,15.947915
2021-08-05,17.31875
2021-08-06,17.722918
2021-08-07,16.5125
2021-08-08,16.327085
2021-08-09,16.214582
2021-08-10,16.108334
2021-08-11,17.310417
2021-08-12,17.879168
2021-08-13,17.339584
2021-08-14,18.089586
2021-08-15,18.691668
2021-08-16,15.966668
2021-08-17,15.212501
2021-08-18,16.872917
2021-08-19,16.783335
2021-08-20,17.368748
2021-08-21,18.268751
2021-08-22,17.806248
2021-08-23,17.829168
2021-08-24,16.75625
2021-08-25,16.604166
2021-08-26,16.214582
2021-08-27,15.695832
2021-08-28,16.268747
2021-08-29,16.266665
2021-08-30,17.5375
2021-08-31,16.270834
2021-09-01,16.1625
2021-09-02,15.595833
2021-09-03,15.858334
2021-09-04,15.51875
2021-09-05,15.989582
2021-09-06,16.783333
2021-09-07,19.045835
2021-09-08,19.770834
2021-09-09,18.999998
2021-09-10,18.816668
2021-09-11,17.827084
2021-09-12,16.591665
2021-09-13,15.658337
2021-09-14,17.079166
2021-09-15,17.562498
2021-09-16,16.229166
2021-09-17,15.920833
2021-09-18,15.599999
2021-09-19,15.522919
2021-09-20,12.962502
2021-09-21,12.927083
2021-09-22,15.243749
2021-09-23,16.264585
2021-09-24,17.1375
2021-09-25,18.28125
2021-09-26,17.216665
2021-09-27,15.51875
2021-09-28,13.899998
2021-09-29,12.237499
2021-09-30,12.672916
2021-10-01,13.568751
