section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,5,1,1616,1240218.8426629258,1353129.8939324664,1136882.859729386,767.4621551131967,837.3328551562292,703.5166211196695,-0.09104123190638225,0.08332076515759335,0.1598124726774185
BUCKET,5,2,1012,768505.3706594235,873156.0420728242,676690.6676962014,759.392658754371,862.802413115439,668.6666676839934,-0.1361742876612615,0.11947177790630104,0.22500602974724304
BUCKET,5,3,873,643555.3148615519,782060.7945717773,526944.433102656,737.1767638734843,895.8313798073051,603.6018706788728,-0.21521923059562043,0.18119791580616862,0.32621039596903967
BUCKET,5,4,821,589361.9813660153,722829.0484698117,480071.60965160705,717.8586861949029,880.4251503895392,584.7400848375238,-0.2264602592696059,0.18543844898358808,0.3358435017686525
BUCKET,5,5,1298,961617.0955968739,1191087.8265969665,769994.2940238919,740.8452200284082,917.6331483797893,593.2159430076209,-0.2386300452132255,0.1992714173348198,0.3535369291584254
BUCKET,5,6,72,54709.294349097414,71638.28366424603,40809.50600830997,759.8513104041308,994.9761620034171,566.7986945598607,-0.3094353439678008,0.2540663063956474,0.43033942298819206
BUCKET,6,1,1829,2000709.0993664344,2195084.330938681,1900823.476162735,1093.881410260489,1200.1554570468459,1039.2692597937314,-0.09715317016041936,0.0499251106696772,0.13405446461827353
BUCKET,6,2,1184,1318998.9116990832,1488201.010905956,1211458.4077999669,1114.0193510971985,1256.9265294813817,1023.1912228040261,-0.12828069659959995,0.08153191253250303,0.1859578115307955
BUCKET,6,3,1025,1119745.371769507,1336530.5349091014,974510.9286424761,1092.4345090434215,1303.932229179611,950.7423694072937,-0.19360219618234642,0.12970309749753228,0.2708651967246275
BUCKET,6,4,953,993827.5558381762,1188255.3910362262,853926.1165548118,1042.8410869235847,1246.8577030810347,896.0399963849022,-0.1956353836798912,0.14077033632396518,0.2813614623619425
BUCKET,6,5,1563,1738809.2240817463,2109918.874511872,1480834.1997062475,1112.4819092013731,1349.9161065335072,947.4307099848033,-0.21342746822964798,0.14836304109884957,0.29815585916835907
BUCKET,6,6,85,94655.0800897075,119611.35802295807,77406.4219118508,1113.5891775259706,1407.1924473289184,910.6637871982448,-0.26365492385193434,0.18222643899840996,0.3528505721254874
BUCKET,7,1,2079,3100995.9353250554,3382028.9189961907,3022824.552505796,1491.580536471888,1626.7575367947045,1453.9800637353515,-0.0906266855979212,0.025208476389397605,0.10620972649666438
BUCKET,7,2,1450,2231685.3750008442,2474644.6666826876,2111728.191209473,1539.0933620695478,1706.6514942639226,1456.3642697996368,-0.10886807540321475,0.05375183488457713,0.14665397435006755
BUCKET,7,3,1295,2004963.9724798647,2306200.093863125,1817390.7495863317,1548.2347277836793,1780.8494933305985,1403.3905402211055,-0.15024515428607566,0.09355441068675707,0.21195443776866163
BUCKET,7,4,1210,1816663.0866736625,2090896.577279726,1628595.2023699274,1501.3744517964153,1728.0137002311785,1345.9464482396095,-0.1509545124892635,0.1035238100467436,0.2211019808121053
BUCKET,7,5,1999,3093025.8223617487,3607249.3350361087,2754565.093320803,1547.2865544581034,1804.5269309835462,1377.9715324266147,-0.16625257666995918,0.10942706219714216,0.23638073294059403
BUCKET,7,6,109,167049.8198697983,200643.60957920877,144870.5324653401,1532.5671547687916,1840.7670603597135,1329.0874538104597,-0.2011004246253849,0.13277049578230693,0.2779708620216531
BUCKET,8,1,2403,4904736.670993177,5252328.277190061,4852723.197443102,2041.0889184324499,2185.7379430670253,2019.4436943167298,-0.07086855615563548,0.01060474334079653,0.07608151255175244
BUCKET,8,2,1913,3964684.5790197286,4275359.548472081,3827643.8083384754,2072.4958593934807,2234.8978298338116,2000.8592829788163,-0.07836057655037143,0.0345653652768354,0.10472002063396268
BUCKET,8,3,1710,3671612.3224433367,4046565.280314544,3411724.2947031073,2147.141709031191,2366.4124446283886,1995.160406259127,-0.10212215368688171,0.07078307972538955,0.1568839105845563
BUCKET,8,4,1610,3358815.8112295517,3697607.019304897,3107071.4950090838,2086.221000763697,2296.650322549626,1929.8580714342136,-0.1008662657067001,0.07495031891263859,0.15970748681854963
BUCKET,8,5,2817,5807706.021018004,6443649.574780373,5329065.5698207375,2061.663479239618,2287.41553950315,1891.7520659640531,-0.10949995599999363,0.08241471752617535,0.17297402536009654
BUCKET,8,6,156,315427.9846612235,357455.22609943966,283250.3832288234,2021.9742606488685,2291.3796544835877,1815.7075848001502,-0.13323878502205289,0.10201251314768256,0.2075919932136434
BUCKET,9,1,3365,9638307.013276966,9992713.081222894,9562573.610727675,2864.2814303943437,2969.6026987289433,2841.7752186412113,-0.03677057261796346,0.007857542039796717,0.04304531382007604
BUCKET,9,2,3137,8539023.88079347,8874710.106994404,8342761.195635465,2722.035027348891,2829.0437064056114,2659.4712131448723,-0.039312013982766736,0.02298420614555874,0.059939863380967795
BUCKET,9,3,2803,7961678.052578395,8344972.67266335,7568505.22674132,2840.413147548482,2977.1575714103997,2700.144568940892,-0.04814244152472669,0.04938316059009007,0.09304613404734074
